Accno	Read Status	5' Contig	5' Position	5' Strand	3' Contig 	3' Position	3' Strand
HTU2KLI03HCV51	Assembled	contig00010	566	+	contig00010	694	-
HTU2KLI03HHWHH	Assembled	contig00012	545	+	contig00056	30	-
HTU2KLI03GNTQ6	PartiallyAssembled	contig00012	545	+	contig00061	6	-
HTU2KLI03GUND5	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03F9E5Q	Assembled	contig00014	312	+	contig00014	477	-
HTU2KLI03G3IM7	Assembled	contig00056	29	-	contig00012	545	+
HTU2KLI03G7JTY	Singleton
HTU2KLI03FSCZ0	TooShort
HTU2KLI03G76OW	PartiallyAssembled	contig00022	75	+	contig00022	347	-
HTU2KLI03GYHXL	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03FWZ7U	Assembled	contig00022	373	-	contig00022	121	+
HTU2KLI03G6UGK	TooShort
HTU2KLI03GQ51X	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03GLBGV	PartiallyAssembled	contig00022	74	+	contig00022	347	-
HTU2KLI03FPGOZ	Assembled	contig00056	30	-	contig00012	545	+
HTU2KLI03G8CAK	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GKI10	PartiallyAssembled	contig00033	215	+	contig00026	223	-
HTU2KLI03G4TD3	Assembled	contig00056	25	-	contig00012	545	+
HTU2KLI03GSY1R	Assembled	contig00012	545	+	contig00056	41	-
HTU2KLI03FVTUL	Assembled	contig00056	30	-	contig00012	545	+
HTU2KLI03GMVV3	PartiallyAssembled	contig00026	4	-	contig00033	108	+
HTU2KLI03FTFTA	Assembled	contig00056	23	-	contig00012	545	+
HTU2KLI03F69V7	Assembled	contig00001	1218	-	contig00001	1067	+
HTU2KLI03FW9YS	Assembled	contig00026	224	-	contig00026	28	+
HTU2KLI03FX5HE	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GKB0G	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03G7OTL	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03G4B0S	Assembled	contig00004	928	-	contig00004	765	+
HTU2KLI03GOREB	Assembled	contig00012	545	+	contig00056	29	-
HTU2KLI03F7M2K	PartiallyAssembled	contig00001	930	+	contig00001	1185	-
HTU2KLI03HCZZK	Singleton
HTU2KLI03G8LDT	Assembled	contig00023	235	-	contig00023	1	+
HTU2KLI03F64U4	Assembled	contig00012	545	+	contig00022	92	-
HTU2KLI03FUYCM	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03HA7ZK	Singleton
HTU2KLI03GWZIQ	Assembled	contig00056	29	-	contig00012	545	+
HTU2KLI03GOK4Z	PartiallyAssembled	contig00033	220	+	contig00026	225	-
HTU2KLI03F5IVW	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03FOANX	Assembled	contig00033	109	+	contig00026	3	-
HTU2KLI03FOZZY	Assembled	contig00004	873	+	contig00004	1003	-
HTU2KLI03F7BN0	Assembled	contig00012	545	+	contig00060	1	-
HTU2KLI03F4VW9	Singleton
HTU2KLI03FNTV7	Singleton
HTU2KLI03FVPN1	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GT6PS	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GHZD7	Assembled	contig00002	532	+	contig00002	953	-
HTU2KLI03HF2H3	Assembled	contig00010	517	-	contig00010	349	+
HTU2KLI03G3YI3	Assembled	contig00004	758	+	contig00004	926	-
HTU2KLI03G8RZP	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03GX5KK	PartiallyAssembled	contig00036	156	-	contig00036	8	+
HTU2KLI03GO52Q	Assembled	contig00034	193	+	contig00053	110	-
HTU2KLI03FSVNS	Assembled	contig00007	571	-	contig00007	449	+
HTU2KLI03F4L6S	PartiallyAssembled	contig00012	545	+	contig00061	6	-
HTU2KLI03GMACT	Assembled	contig00010	562	+	contig00010	696	-
HTU2KLI03F423P	Assembled	contig00056	29	-	contig00012	545	+
HTU2KLI03GHABU	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03F4ZT5	Assembled	contig00010	586	+	contig00010	694	-
HTU2KLI03G849F	Assembled	contig00002	1	+	contig00002	348	-
HTU2KLI03FTJ9M	PartiallyAssembled	contig00022	349	-	contig00022	73	+
HTU2KLI03GKN1Y	Assembled	contig00022	373	-	contig00022	121	+
HTU2KLI03F59SI	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03FJGBE	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03GQILD	PartiallyAssembled	contig00001	930	+	contig00001	1218	-
HTU2KLI03GW7CD	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03F4GZG	Assembled	contig00004	924	-	contig00004	765	+
HTU2KLI03G81TG	Assembled	contig00004	252	+	contig00004	533	-
HTU2KLI03FUW7R	Assembled	contig00007	449	+	contig00007	566	-
HTU2KLI03HEY6J	Assembled	contig00004	758	+	contig00004	926	-
HTU2KLI03F004G	TooShort
HTU2KLI03G1FJ7	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03FPZ78	Assembled	contig00026	2	-	contig00004	1110	+
HTU2KLI03HCA5E	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03GEDEV	Assembled	contig00001	1066	+	contig00001	1218	-
HTU2KLI03FLYKR	Assembled	contig00007	447	+	contig00007	566	-
HTU2KLI03GGPQB	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03FQTP7	Assembled	contig00004	804	+	contig00004	938	-
HTU2KLI03G3NDP	Assembled	contig00001	965	+	contig00001	1183	-
HTU2KLI03GBMXW	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GNO6U	Assembled	contig00033	73	+	contig00026	2	-
HTU2KLI03GTT1G	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03G0461	PartiallyAssembled	contig00033	206	+	contig00026	222	-
HTU2KLI03HAFQV	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03GLWNT	Assembled	contig00012	545	+	contig00056	41	-
HTU2KLI03HBUVQ	Assembled	contig00010	571	+	contig00010	675	-
HTU2KLI03GS7CH	Assembled	contig00033	73	+	contig00026	2	-
HTU2KLI03G9NAH	Assembled	contig00033	125	-	contig00004	1111	+
HTU2KLI03G1QQG	Assembled	contig00012	545	+	contig00056	41	-
HTU2KLI03GJGRU	Assembled	contig00022	406	-	contig00022	73	+
HTU2KLI03HB7H6	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03GBU96	Assembled	contig00002	884	-	contig00002	689	+
HTU2KLI03FLHJE	Assembled	contig00012	545	+	contig00056	41	-
HTU2KLI03GBVTJ	PartiallyAssembled	contig00033	206	+	contig00026	169	-
HTU2KLI03GXYP9	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GM3Q0	Assembled	contig00029	129	+	contig00029	305	-
HTU2KLI03GPLI3	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03GZEKR	Assembled	contig00007	449	+	contig00007	568	-
HTU2KLI03G93Y2	Assembled	contig00001	1300	+	contig00001	1506	-
HTU2KLI03G8GZE	Assembled	contig00003	511	-	contig00003	256	+
HTU2KLI03GXPYM	Singleton
HTU2KLI03GXPBQ	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03HDR79	Singleton
HTU2KLI03HB2M9	Assembled	contig00012	545	+	contig00056	30	-
HTU2KLI03GDWUH	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03GLKH3	PartiallyAssembled	contig00007	560	-	contig00007	447	+
HTU2KLI03G7LJP	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03FY82G	Assembled	contig00001	202	+	contig00001	330	-
HTU2KLI03GN8TR	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03FRX53	Assembled	contig00022	373	-	contig00022	121	+
HTU2KLI03GN3BU	Assembled	contig00012	545	+	contig00056	35	-
HTU2KLI03FWQJS	Assembled	contig00010	566	+	contig00010	694	-
HTU2KLI03GRZZV	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03GTG1E	Assembled	contig00004	983	+	contig00059	1	-
HTU2KLI03HCNJC	Assembled	contig00022	73	+	contig00022	344	-
HTU2KLI03GVIAH	Assembled	contig00002	534	+	contig00002	827	-
HTU2KLI03GST10	PartiallyAssembled	contig00007	454	+	contig00007	570	-
HTU2KLI03G67ED	Assembled	contig00055	70	+	contig00033	75	+
HTU2KLI03FPE06	Assembled	contig00001	1185	-	contig00001	1051	+
HTU2KLI03GZUFS	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03FMDWW	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03F17LB	Assembled	contig00001	1506	-	contig00001	1323	+
HTU2KLI03F2HAX	Assembled	contig00001	1185	-	contig00001	1066	+
HTU2KLI03FP0OK	Singleton
HTU2KLI03GG41I	TooShort
HTU2KLI03HABDH	PartiallyAssembled	contig00012	539	+	contig00022	344	-
HTU2KLI03FWI9B	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03FKIRE	Assembled	contig00056	34	-	contig00012	545	+
HTU2KLI03FYDHC	Assembled	contig00012	545	+	contig00056	35	-
HTU2KLI03GKFVF	PartiallyAssembled	contig00010	686	-	contig00010	558	+
HTU2KLI03HB91A	TooShort
HTU2KLI03G3HUU	Assembled	contig00001	729	+	contig00001	1039	-
HTU2KLI03F3G1L	Assembled	contig00026	2	-	contig00004	1114	+
HTU2KLI03GXM98	TooShort
HTU2KLI03GW0G8	PartiallyAssembled	contig00022	369	-	contig00012	610	+
HTU2KLI03F485O	Assembled	contig00010	696	-	contig00010	554	+
HTU2KLI03G66X1	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03GG87P	PartiallyAssembled	contig00001	930	+	contig00001	1048	-
HTU2KLI03GJEHW	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03GUGWG	Assembled	contig00033	286	-	contig00004	1109	+
HTU2KLI03FWRBL	Assembled	contig00004	252	+	contig00004	527	-
HTU2KLI03G2H9Q	Assembled	contig00010	349	+	contig00010	691	-
HTU2KLI03G1SS0	Assembled	contig00002	1095	+	contig00002	1365	-
HTU2KLI03GOMVD	Assembled	contig00002	690	+	contig00002	824	-
HTU2KLI03F0SZY	Assembled	contig00007	449	+	contig00007	566	-
HTU2KLI03GMXKQ	Assembled	contig00003	634	-	contig00003	413	+
HTU2KLI03FNT6S	PartiallyAssembled	contig00007	286	+	contig00007	394	-
HTU2KLI03HBM33	Assembled	contig00012	545	+	contig00056	41	-
HTU2KLI03F8DBL	Assembled	contig00033	98	+	contig00026	2	-
HTU2KLI03F9323	Assembled	contig00001	1298	+	contig00001	1505	-
HTU2KLI03G4U4E	PartiallyAssembled	contig00007	560	-	contig00007	447	+
HTU2KLI03G5TSB	Assembled	contig00012	545	+	contig00061	6	-
HTU2KLI03GQBTE	Assembled	contig00022	374	-	contig00022	73	+
HTU2KLI03F3PPV	Singleton
HTU2KLI03GL69M	Assembled	contig00022	381	-	contig00022	113	+
HTU2KLI03G9J54	Assembled	contig00003	925	+	contig00003	1074	-
HTU2KLI03GXL67	PartiallyAssembled	contig00002	677	+	contig00002	999	-
HTU2KLI03FT7XO	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03FNHO4	PartiallyAssembled	contig00020	90	+	contig00020	425	-
HTU2KLI03GOQ2Y	Assembled	contig00056	29	-	contig00012	545	+
HTU2KLI03G9QQM	Assembled	contig00001	1067	+	contig00001	1182	-
HTU2KLI03FJQ3P	PartiallyAssembled	contig00010	686	-	contig00010	593	+
HTU2KLI03GKROX	Assembled	contig00056	54	-	contig00012	545	+
HTU2KLI03GW2EL	PartiallyAssembled	contig00026	4	-	contig00004	1100	+
HTU2KLI03GO30Q	Assembled	contig00010	697	-	contig00010	563	+
HTU2KLI03G84GB	Assembled	contig00012	545	+	contig00056	30	-
HTU2KLI03FOXJ3	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03GMKSN	Assembled	contig00033	109	+	contig00026	3	-
HTU2KLI03G5FVF	Assembled	contig00010	529	-	contig00010	302	+
HTU2KLI03GA8PR	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03HG605	Assembled	contig00022	73	+	contig00022	353	-
HTU2KLI03GIDKQ	Assembled	contig00027	1	+	contig00027	190	-
HTU2KLI03GXH2Q	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03HG4AS	Assembled	contig00002	999	-	contig00002	665	+
HTU2KLI03F74HU	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03G0JE9	Assembled	contig00004	997	+	contig00033	126	-
HTU2KLI03FW0QX	PartiallyAssembled	contig00022	349	-	contig00022	75	+
HTU2KLI03FLB5X	Assembled	contig00010	563	+	contig00010	665	-
HTU2KLI03GIVMY	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GRGAK	Assembled	contig00033	288	-	contig00059	9	+
HTU2KLI03G9ZSQ	Assembled	contig00033	286	-	contig00004	1109	+
HTU2KLI03GB7JI	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03F97WF	Assembled	contig00004	251	+	contig00004	533	-
HTU2KLI03GOE7F	PartiallyAssembled	contig00005	513	-	contig00005	237	+
HTU2KLI03GKOO6	Assembled	contig00021	400	+	contig00050	131	-
HTU2KLI03FTXVS	Assembled	contig00004	1100	+	contig00033	284	-
HTU2KLI03GAECS	Assembled	contig00010	571	+	contig00010	660	-
HTU2KLI03GH748	Assembled	contig00033	212	+	contig00026	226	-
HTU2KLI03HBYK0	PartiallyAssembled	contig00002	994	-	contig00002	679	+
HTU2KLI03GJPAD	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03HEPEW	PartiallyAssembled	contig00022	1	+	contig00022	268	-
HTU2KLI03GCCMJ	Assembled	contig00012	545	+	contig00056	31	-
HTU2KLI03GI879	Assembled	contig00002	582	-	contig00002	419	+
HTU2KLI03GJA04	Assembled	contig00002	1104	+	contig00002	1319	-
HTU2KLI03FZCAH	Assembled	contig00001	1051	+	contig00001	1178	-
HTU2KLI03GQMD5	Assembled	contig00012	545	+	contig00056	27	-
HTU2KLI03GLNR0	PartiallyAssembled	contig00010	686	-	contig00010	558	+
HTU2KLI03GSVL8	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03GQV5H	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03FLQMI	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03GEB85	PartiallyAssembled	contig00002	1	+	contig00002	348	-
HTU2KLI03FRVHR	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GDX45	Assembled	contig00012	545	+	contig00056	30	-
HTU2KLI03GBUI6	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03HBA3Q	Assembled	contig00001	1185	-	contig00001	965	+
HTU2KLI03GZ1BT	Assembled	contig00012	545	+	contig00056	24	-
HTU2KLI03F838J	Assembled	contig00012	545	+	contig00056	23	-
HTU2KLI03GPPGP	PartiallyAssembled	contig00001	1042	-	contig00001	930	+
HTU2KLI03FT85O	Assembled	contig00028	328	-	contig00028	162	+
HTU2KLI03GSBV2	Assembled	contig00012	545	+	contig00061	5	-
HTU2KLI03FQH87	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03G0BER	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03FM7LC	Assembled	contig00056	29	-	contig00012	545	+
HTU2KLI03F9917	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GVYBH	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03FQ11B	Assembled	contig00012	545	+	contig00022	240	-
HTU2KLI03FR7E4	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03FKUA4	Assembled	contig00002	951	-	contig00002	690	+
HTU2KLI03FYBLK	Assembled	contig00001	334	-	contig00001	156	+
HTU2KLI03GQSHY	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03GYBB1	Assembled	contig00001	1185	-	contig00001	1085	+
HTU2KLI03G3JRH	Assembled	contig00022	75	+	contig00022	344	-
HTU2KLI03GEF5C	Assembled	contig00017	413	-	contig00017	271	+
HTU2KLI03FRB5S	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03F9K61	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GLC3J	Assembled	contig00001	1505	-	contig00001	1323	+
HTU2KLI03GQFWP	Singleton
HTU2KLI03FXMEF	Assembled	contig00002	1314	-	contig00002	1106	+
HTU2KLI03GE7E2	Singleton
HTU2KLI03FSG2A	Assembled	contig00022	346	-	contig00022	170	+
HTU2KLI03F4FZL	Assembled	contig00004	873	+	contig00004	1003	-
HTU2KLI03HC3SV	Assembled	contig00012	539	+	contig00022	249	-
HTU2KLI03FTSAT	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03GKTOY	Assembled	contig00033	215	+	contig00026	223	-
HTU2KLI03GGMXE	PartiallyAssembled	contig00033	107	+	contig00026	197	-
HTU2KLI03GU99R	Assembled	contig00004	252	+	contig00004	527	-
HTU2KLI03GD3OD	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03G79PU	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GVFQZ	Assembled	contig00001	963	+	contig00001	1185	-
HTU2KLI03GOUVG	Assembled	contig00002	824	-	contig00002	559	+
HTU2KLI03GMDUT	Assembled	contig00001	1185	-	contig00001	930	+
HTU2KLI03GWRJ3	Singleton
HTU2KLI03GR5IV	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03GIST2	Assembled	contig00002	891	+	contig00002	1167	-
HTU2KLI03G64JO	Assembled	contig00056	30	-	contig00012	545	+
HTU2KLI03G2AGJ	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03HED0W	Assembled	contig00001	1297	+	contig00001	1506	-
HTU2KLI03HAXVT	Assembled	contig00022	73	+	contig00022	349	-
HTU2KLI03FWYNH	Assembled	contig00001	1349	+	contig00001	1506	-
HTU2KLI03FWS59	Assembled	contig00022	347	-	contig00022	115	+
HTU2KLI03HD4N9	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03HCS4O	Assembled	contig00012	545	+	contig00060	1	-
HTU2KLI03G0IZU	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03HES1C	Assembled	contig00012	545	+	contig00060	1	-
HTU2KLI03GO0Q3	Assembled	contig00056	31	-	contig00012	545	+
HTU2KLI03GQHY9	Assembled	contig00033	289	-	contig00004	1109	+
HTU2KLI03FNN9A	Assembled	contig00001	965	+	contig00001	1185	-
HTU2KLI03GP9V1	PartiallyAssembled	contig00002	533	+	contig00002	906	-
HTU2KLI03GRPWP	Assembled	contig00001	220	+	contig00001	334	-
HTU2KLI03FSWY7	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03FOP79	Assembled	contig00022	115	+	contig00022	344	-
HTU2KLI03FT8CV	Assembled	contig00022	73	+	contig00022	347	-
HTU2KLI03GGE9O	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03G96JK	Assembled	contig00012	545	+	contig00056	34	-
HTU2KLI03G58I2	Assembled	contig00022	283	+	contig00022	372	-
HTU2KLI03GAC02	Assembled	contig00053	98	-	contig00034	55	+
HTU2KLI03HE1PH	PartiallyAssembled	contig00033	72	+	contig00033	187	-
HTU2KLI03GS0NN	PartiallyAssembled	contig00001	930	+	contig00001	1218	-
HTU2KLI03GKEU2	Assembled	contig00001	1323	+	contig00001	1506	-
HTU2KLI03GLU37	Assembled	contig00012	545	+	contig00056	35	-
HTU2KLI03GF0Z6	Assembled	contig00056	34	-	contig00012	545	+
HTU2KLI03FV3NW	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03G4WRB	Assembled	contig00004	926	-	contig00004	765	+
HTU2KLI03FZTUD	Assembled	contig00033	109	+	contig00026	3	-
HTU2KLI03FUX6B	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03G19ZY	Assembled	contig00002	533	+	contig00002	755	-
HTU2KLI03FPP5W	Assembled	contig00001	1081	+	contig00001	1218	-
HTU2KLI03FVAEW	Assembled	contig00002	1317	-	contig00002	1100	+
HTU2KLI03GZRK8	PartiallyAssembled	contig00012	545	+	contig00056	21	-
HTU2KLI03F0FZM	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03GSJU8	Assembled	contig00001	500	-	contig00001	396	+
HTU2KLI03G4AA4	Assembled	contig00009	216	+	contig00009	404	-
HTU2KLI03G26UE	Assembled	contig00004	808	+	contig00004	926	-
HTU2KLI03GVLAJ	Assembled	contig00033	215	+	contig00033	271	-
HTU2KLI03FSXCB	Assembled	contig00022	79	+	contig00022	272	-
HTU2KLI03G5P4S	Assembled	contig00022	347	-	contig00022	114	+
HTU2KLI03G0U8Z	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03G989C	Assembled	contig00007	447	+	contig00007	567	-
HTU2KLI03FOWN4	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03FQ74E	Assembled	contig00004	873	+	contig00033	3	-
HTU2KLI03FJFWS	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03HCOBU	PartiallyAssembled	contig00056	27	-	contig00012	545	+
HTU2KLI03GK791	Assembled	contig00001	640	+	contig00001	837	-
HTU2KLI03FW2I2	Assembled	contig00022	73	+	contig00022	356	-
HTU2KLI03G5A41	PartiallyAssembled	contig00033	61	+	contig00026	27	-
HTU2KLI03FPS5B	Assembled	contig00012	545	+	contig00022	74	-
HTU2KLI03FRSIT	TooShort
HTU2KLI03FUUYH	PartiallyAssembled	contig00002	451	+	contig00002	796	-
HTU2KLI03GP58J	Assembled	contig00004	922	-	contig00004	757	+
HTU2KLI03HCJ4T	Assembled	contig00002	757	-	contig00002	533	+
HTU2KLI03FREW2	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03G36D4	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03F08R6	Assembled	contig00012	545	+	contig00060	1	-
HTU2KLI03GSKFB	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03F31Y0	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03FN0TU	Assembled	contig00022	406	-	contig00022	73	+
HTU2KLI03GS1XV	Assembled	contig00012	545	+	contig00056	30	-
HTU2KLI03GQFX3	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03GAHHP	Assembled	contig00001	1183	-	contig00001	1110	+
HTU2KLI03G16IJ	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03F5PKY	Assembled	contig00033	105	+	contig00026	196	-
HTU2KLI03GX9BK	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03FNXVE	Assembled	contig00001	1067	+	contig00001	1219	-
HTU2KLI03F0CIG	Assembled	contig00012	545	+	contig00056	30	-
HTU2KLI03FQ07Y	Assembled	contig00001	930	+	contig00001	1218	-
HTU2KLI03F1ID7	Assembled	contig00012	544	+	contig00061	5	-
HTU2KLI03GOEJA	Assembled	contig00012	539	+	contig00022	240	-
HTU2KLI03FSAMS	Assembled	contig00004	1109	+	contig00033	284	-
HTU2KLI03GOYG2	Assembled	contig00022	346	-	contig00022	241	+
HTU2KLI03G0O8U	Assembled	contig00003	380	+	contig00003	598	-
HTU2KLI03FN91P	Assembled	contig00002	1076	+	contig00002	1319	-
HTU2KLI03F2LWX	PartiallyAssembled	contig00003	646	+	contig00003	1075	-
HTU2KLI03GM838	Assembled	contig00002	1065	+	contig00002	1314	-
HTU2KLI03G9B91	Assembled	contig00002	1062	+	contig00002	1310	-
HTU2KLI03G9ZUS	Assembled	contig00012	545	+	contig00056	27	-
HTU2KLI03G6UEO	Singleton
HTU2KLI03G166Y	Assembled	contig00022	73	+	contig00022	349	-
HTU2KLI03GFQ0S	Assembled	contig00007	449	+	contig00007	566	-
HTU2KLI03G19XT	PartiallyAssembled	contig00007	574	-	contig00007	458	+
HTU2KLI03HIB2Y	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03GZP5K	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03GMLZ7	Assembled	contig00037	117	+	contig00053	78	-
HTU2KLI03HEX7J	Singleton
HTU2KLI03HD3AJ	Assembled	contig00007	447	+	contig00007	566	-
HTU2KLI03F3BMD	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03G8WUC	Assembled	contig00026	1	-	contig00004	1114	+
HTU2KLI03GH05D	Assembled	contig00002	1317	-	contig00002	1089	+
HTU2KLI03GMX86	Assembled	contig00004	1107	+	contig00033	283	-
HTU2KLI03F6Z13	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03GICQ3	Assembled	contig00012	545	+	contig00022	74	-
HTU2KLI03GEKOE	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03G6SZ8	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03HHMX6	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03GQH2Y	PartiallyAssembled	contig00010	690	-	contig00010	572	+
HTU2KLI03GPW5Q	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03F2MZJ	Singleton
HTU2KLI03FIKW3	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03FW0IY	Assembled	contig00017	411	-	contig00017	280	+
HTU2KLI03HCD4M	Assembled	contig00012	641	-	contig00012	545	+
HTU2KLI03GPW29	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03HDZI0	Assembled	contig00002	1310	-	contig00002	1100	+
HTU2KLI03FORZJ	Assembled	contig00026	2	-	contig00004	1114	+
HTU2KLI03FLHJ1	Assembled	contig00004	926	-	contig00004	765	+
HTU2KLI03GVLLE	Assembled	contig00004	998	+	contig00033	6	-
HTU2KLI03G0WJQ	Assembled	contig00001	305	+	contig00001	735	-
